"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fig|6666666.77655.peg.1095",140.290053414262,-5.01381416999348,0.417410230001011,-12.011718471733,3.08369625099068e-33,1.28847108353894e-30
"fig|6666666.77655.peg.1096",103.612353953069,-4.13886705708212,0.408063358697165,-10.1427069323166,3.57065496312337e-24,5.59476999534393e-22
"fig|6666666.77655.peg.1097",25.6179287048915,-0.196494081661054,0.479820310399678,-0.409515973797314,0.682161046635023,0.86285456302422
"fig|6666666.77655.peg.1098",668.730466595209,-0.0584928240268113,0.197748052291568,-0.295794691017067,0.767386877632497,0.907471180294655
"fig|6666666.77655.peg.1099",239.824630079002,0.361868073451875,0.268910945728765,1.34567997026373,0.17840574869084,0.412818373068132
"fig|6666666.77655.peg.11",4.02800529013178,0.863170283978082,0.676867699654245,1.2752422436748,0.202223513446105,0.44123093838937
"fig|6666666.77655.peg.110",151.907682719943,-0.398340528302426,0.28065971342077,-1.41930070207557,0.155811367538424,0.378140463135361
"fig|6666666.77655.peg.1100",1056.61349826467,-0.414241199366868,0.193302678270643,-2.14296668350807,0.0321157736984469,0.124849572647584
"fig|6666666.77655.peg.1101",1045.06665261116,-0.041721360209405,0.207576736837503,-0.200992465943164,0.840704465166437,0.943968864292604
"fig|6666666.77655.peg.1102",676.714775159189,-0.411994138235447,0.210512816524461,-1.9570976486725,0.0503359888349926,0.172393885258643
"fig|6666666.77655.peg.1103",1467.36261965274,0.529986016706816,0.184330362548699,2.87519651878728,0.00403776098847831,0.0254338361761687
"fig|6666666.77655.peg.1104",144.603693637239,-0.078166101121484,0.273024327850258,-0.286297201926837,0.774650501017668,0.911760002840983
"fig|6666666.77655.peg.1105",121.779420292759,0.331987150801817,0.285887842760683,1.16124962711242,0.245540398157641,0.49884098718088
"fig|6666666.77655.peg.1106",249.790163866415,0.320766837676664,0.236887369443217,1.35409008268613,0.175707639792329,0.409860101135237
"fig|6666666.77655.peg.1107",907.028699584524,0.297429510976203,0.200464402439845,1.48370237985497,0.137887894652858,0.3481218045264
"fig|6666666.77655.peg.1108",1367.8787115386,-0.760726167162399,0.186369264783452,-4.08182201097542,4.46840126163399e-05,0.000557327460841613
